h3_index,city,lat,lon,dist_cafe,dist_gym,dist_shop,dist_transit
89390cb0433ffff,Madrid,40.51297703117286,-3.7610082670884712,1439.9,2824.9,4158.7,837.3
89390cb221bffff,Madrid,40.52863359953863,-3.79200087226896,1409.6,4727.7,11610.0,1314.0
89390ca036fffff,Madrid,40.34459748906959,-3.5919421916781857,1395.0,1487.3,1946.6,1621.9
89392b48b23ffff,Madrid,40.58826328013661,-3.77815966889245,36118.5,29721.4,34747.1,36975.4
89390ca341bffff,Madrid,40.39864054454339,-3.715311630469443,150.9,319.7,165.6,146.7
89392b48b53ffff,Madrid,40.58535366707294,-3.7981997727440975,36856.9,34151.8,26636.0,37786.8
89390cb087bffff,Madrid,40.47650885667501,-3.67497582386752,521.9,337.0,935.1,132.2
89390cb2aabffff,Madrid,40.52360097865455,-3.707677668518592,1953.1,1435.7,1827.8,1628.3
89390ca0d87ffff,Madrid,40.39329669918504,-3.5338910957496865,4262.4,4308.2,5207.5,5035.9
89390ca3287ffff,Madrid,40.3689582368266,-3.7015632950509834,449.5,368.6,922.5,96.0
89390ca3673ffff,Madrid,40.37218166413103,-3.718949858826952,880.3,285.4,1027.5,198.9
89390ca22a3ffff,Madrid,40.41407939917559,-3.648799756091056,520.7,587.0,537.5,822.4
89392b498afffff,Madrid,40.56417229952657,-3.844743179800392,21466.8,11374.5,11245.9,22833.2
89392b4836bffff,Madrid,40.58771292364425,-3.861186131305017,27712.9,17620.6,17492.0,29079.3
89390ca2e67ffff,Madrid,40.40800990422565,-3.5913748526140887,1110.6,713.6,1281.2,301.9
89392b4d673ffff,Madrid,40.58810112821155,-3.759415825556685,37139.5,30742.4,33248.9,34321.3
89390cb0a8fffff,Madrid,40.46921390918904,-3.685563047625336,63.7,151.3,114.5,61.6
89390cb50a3ffff,Madrid,40.48251963095429,-3.5936100422180077,1507.5,1693.8,1507.5,275.9
89390ca1d7bffff,Madrid,40.329092085921474,-3.57976879987836,3638.9,3794.0,4279.8,3834.8
89392b4ca43ffff,Madrid,40.60718177811567,-3.627215456649502,10348.5,9957.0,11755.6,1351.7
89390cb0d13ffff,Madrid,40.50908635890018,-3.668726654130071,177.1,384.8,979.6,24.1
89390ca2c53ffff,Madrid,40.43271435139594,-3.599676054073385,775.3,832.0,517.1,181.4
89390cbaaa7ffff,Madrid,40.376867701945145,-3.7657229523764006,204.8,735.3,425.4,57.2
89390ca3563ffff,Madrid,40.39525539071508,-3.6792381993116847,105.1,920.9,239.4,338.2
89392b4d337ffff,Madrid,40.58204251946964,-3.7017895052840175,21665.8,21722.5,23934.9,21396.4
89390ca03a7ffff,Madrid,40.36241896411823,-3.588159912102583,206.0,439.3,752.5,160.6
89390cb85afffff,Madrid,40.36969704855695,-3.794985799253682,4287.3,4291.1,3440.2,4503.2
89390ca1603ffff,Madrid,40.32144191898765,-3.6915878732782126,2259.0,3134.5,3674.8,3467.8
89390cb506fffff,Madrid,40.46528176390024,-3.593401215637383,353.2,360.3,1160.7,14.7
89390cb33afffff,Madrid,40.4904781668389,-3.796783279718208,8722.5,2171.5,2139.2,837.7
89390ca30b3ffff,Madrid,40.39102344710077,-3.688520670210108,37.2,4.0,280.5,220.3
89390ca063bffff,Madrid,40.3665726398879,-3.638856982744517,1278.7,1134.5,1724.6,689.8
89392b4d827ffff,Madrid,40.58764182086434,-3.643014341798839,5900.7,5509.2,8856.7,5674.2
89390ca0d93ffff,Madrid,40.39520907679094,-3.540574857348123,2904.8,2950.6,3849.9,3678.3
89390ca1467ffff,Madrid,40.335467984708295,-3.67444625633844,6342.9,7873.3,6945.7,7298.3
89390cb28cfffff,Madrid,40.54026490211053,-3.7119172322534872,2174.3,2479.1,4605.5,945.1
89390cb0053ffff,Madrid,40.49017264932756,-3.759342684935544,1835.3,531.2,2224.7,312.5
89390cbabbbffff,Madrid,40.37979089360899,-3.745744187393367,224.1,360.3,457.6,48.4
89392b4d933ffff,Madrid,40.59358686732623,-3.621695839764004,9642.9,9251.4,11050.0,646.1
89390cb261bffff,Madrid,40.54603679384628,-3.810995551334668,2536.8,5854.9,12737.2,2562.5
89390ca006fffff,Madrid,40.36201080185437,-3.610808713804279,950.6,455.4,1051.1,631.1
89390cb0d0fffff,Madrid,40.504110958158826,-3.6633174681260097,435.5,620.9,1030.0,243.7
89390cba88fffff,Madrid,40.39660758510196,-3.7686787491771385,49.6,288.2,277.6,41.7
89390cb24b7ffff,Madrid,40.577894146693936,-3.7900555339195368,37180.8,34753.7,34883.6,38037.7
89390ca2653ffff,Madrid,40.42054457395204,-3.6835778308180176,289.0,293.4,276.2,334.7
89390cb1487ffff,Madrid,40.47337270495488,-3.8152466436653647,3976.1,928.6,800.0,18.1
89390cb522fffff,Madrid,40.45053146606292,-3.5958908469228144,56.3,309.4,1058.3,128.8
89390ca148bffff,Madrid,40.34790078999022,-3.687943156401724,416.3,454.6,1076.6,401.5
89390ca035bffff,Madrid,40.3478341130779,-3.609301516357227,1951.9,1774.2,2041.3,1949.4
89390cb30b3ffff,Madrid,40.51285107112625,-3.8211969770092087,1417.2,11705.5,11617.6,12966.4
89392b48ba3ffff,Madrid,40.59630502707513,-3.782294588539039,36568.1,30171.0,35196.7,37425.0
89390ca018bffff,Madrid,40.38156997915199,-3.5950543333926874,2009.7,479.6,1943.8,851.8
89390cb2d03ffff,Madrid,40.56289228579487,-3.694841739060632,8631.5,9353.3,11587.5,8690.5
89390ca1403ffff,Madrid,40.34292772438428,-3.6825436563541216,1177.1,805.8,2226.5,566.3
89390cb186bffff,Madrid,40.42700118098284,-3.7183725893524833,56.7,158.7,87.2,44.3
89390ca238bffff,Madrid,40.41639819043936,-3.6328210383830863,1318.2,720.9,2138.8,217.5
89390cba3bbffff,Madrid,40.38899210785242,-3.820647311894777,1497.5,2806.3,3878.3,2501.2
89390cb29d3ffff,Madrid,40.54929614879455,-3.689309632253292,368.4,1384.2,4308.7,328.1
89390cb0607ffff,Madrid,40.49091018783152,-3.774058996531883,1838.8,1532.4,6438.7,270.2
89390cb096fffff,Madrid,40.47865437438397,-3.6402844887881742,227.1,739.1,456.4,304.5
89390ca21d7ffff,Madrid,40.43728655550356,-3.627747994771242,16.7,334.1,515.4,233.6
89390cb1537ffff,Madrid,40.47058976106851,-3.775099072535737,2099.7,460.4,1442.3,107.6
89390cb24cfffff,Madrid,40.56693957875066,-3.8059566151856665,2536.8,5854.9,12737.2,2562.5
89390ca018fffff,Madrid,40.382148542574114,-3.5910627638252985,2247.8,717.7,2181.9,916.3
89390cb4233ffff,Madrid,40.50244862992275,-3.5551416663336664,1257.3,1257.3,12639.9,2133.0
89390cb3367ffff,Madrid,40.47878189800351,-3.797945951855677,2679.5,1789.4,1757.1,244.9
89390cb294fffff,Madrid,40.53627887789868,-3.679777466571169,1239.9,939.3,3291.7,1160.6
89392b4dbb3ffff,Madrid,40.58017640953449,-3.634896654790603,5783.4,5391.9,8013.9,4092.7
89390ca0e27ffff,Madrid,40.35842408627956,-3.556139508109416,2727.7,3349.1,3516.1,766.9
89390ca029bffff,Madrid,40.358530397570334,-3.634755893293464,2469.6,2813.6,2915.5,2276.3
89390cba9afffff,Madrid,40.399377841331685,-3.730003490884605,429.1,395.7,836.8,115.3
89390ca22bbffff,Madrid,40.41349930507221,-3.652794625671001,430.2,477.0,434.2,106.1
89392b4998fffff,Madrid,40.56957856155741,-3.827418765415853,36921.6,26829.3,26700.7,38288.0
89390ca237bffff,Madrid,40.40280141708944,-3.627314494634285,161.2,337.3,578.1,122.9
89390cb55dbffff,Madrid,40.49802698895728,-3.6058133921952575,649.3,732.2,2754.9,301.8
89390cbaa03ffff,Madrid,40.36955525351567,-3.776295080712021,16.1,85.9,2158.3,1738.9
89390cb0c73ffff,Madrid,40.49698772714709,-3.692615137342028,142.1,302.1,1076.0,11.8
89390ca2217ffff,Madrid,40.41043176312144,-3.65408909315748,24.1,743.2,159.3,108.9
89390ca231bffff,Madrid,40.41084360372717,-3.631416979411604,108.3,89.8,773.6,118.0
89390cb5e9bffff,Madrid,40.469892706768746,-3.5614346243872976,62.8,1059.2,1182.4,27.7
89390cb0b93ffff,Madrid,40.47824756168282,-3.6629793284173457,382.6,278.0,392.7,131.7
89392b49987ffff,Madrid,40.572648246163375,-3.8261268085874898,36921.6,26829.3,26700.7,38288.0
89390ca212fffff,Madrid,40.42907033116347,-3.604966913630767,493.6,57.1,397.6,56.6
89390cba973ffff,Madrid,40.38958508468999,-3.737874621642344,51.0,346.2,283.3,81.5
89390cb5463ffff,Madrid,40.48518809032034,-3.615000199407475,402.2,116.4,2356.7,175.0
89390ca205bffff,Madrid,40.42154147005967,-3.6569014222542777,395.2,612.4,920.4,149.7
89390cb1c73ffff,Madrid,40.4499624787631,-3.738725330221302,920.6,1170.8,2350.7,602.9
89390ca355bffff,Madrid,40.39599692590304,-3.693924402423571,116.3,43.8,102.7,98.8
89390ca2a6fffff,Madrid,40.3875271528561,-3.5738008294447288,6060.2,6188.8,6242.1,7284.4
89390ca08d3ffff,Madrid,40.3670438964668,-3.5562393385730187,2919.4,3438.1,4410.9,790.8
89390cb1577ffff,Madrid,40.463866196634605,-3.7816835074281783,1625.0,701.7,904.3,420.4
89390ca2ca7ffff,Madrid,40.44422073707295,-3.579807132974554,447.4,571.4,676.8,279.8
89390cb0583ffff,Madrid,40.52392850346328,-3.7451183734669216,4395.2,4375.6,5032.2,4199.2
89390ca1c2fffff,Madrid,40.3298417433278,-3.594427985333364,2715.8,2808.1,3267.4,2942.7
89390ca21bbffff,Madrid,40.43902224099678,-3.6157617473415216,91.5,330.8,649.0,120.3
89390cb5203ffff,Madrid,40.45435265811266,-3.609280080392874,593.5,653.7,988.5,304.5
89390cb226fffff,Madrid,40.51868846593961,-3.7811522295241375,402.5,3720.6,8573.7,387.8
89390ca219bffff,Madrid,40.440353100072016,-3.6264522464957936,162.2,168.8,518.6,84.9
89390cb2c33ffff,Madrid,40.55999572578092,-3.7148637281448087,2758.3,2910.3,5145.9,221.4
89392b49813ffff,Madrid,40.562418244913104,-3.8567683768067966,21466.8,11374.5,11245.9,22833.2
89390cba873ffff,Madrid,40.38549482823627,-3.765847682533808,525.2,379.7,402.5,560.8
89390ca2a5bffff,Madrid,40.390769166272,-3.5911667688351088,1405.8,1265.8,2103.6,844.2
89390cb1d93ffff,Madrid,40.47012137286054,-3.7189688122432103,173.8,331.5,680.2,28.6
89390ca06bbffff,Madrid,40.3746148717418,-3.6429591195455697,1338.2,431.5,1850.8,68.0
89390cb02cbffff,Madrid,40.471173304096205,-3.771097802940695,2215.5,437.9,1770.4,46.3
89390cb1523ffff,Madrid,40.4675199713068,-3.776390797906116,1776.8,673.7,1119.4,381.4
89390cba393ffff,Madrid,40.39337523273468,-3.830064589266629,1932.1,3157.5,4316.3,3135.8
89392b4d9c3ffff,Madrid,40.59377161015442,-3.640418351237376,6207.3,5815.8,9163.3,5980.8
89390cb0d23ffff,Madrid,40.50526835051036,-3.655317337846316,1014.2,1168.7,1071.9,1.4
89390ca2e07ffff,Madrid,40.416052089196455,-3.5954723923836363,2255.2,1728.8,1947.5,1138.1
89390cb2a03ffff,Madrid,40.51995322286255,-3.712974707676122,1746.2,2081.5,1721.4,1579.9
89390cb024bffff,Madrid,40.46313127722078,-3.7669715827588446,1519.0,1275.3,1922.3,245.9
89390ca242fffff,Madrid,40.44243270959912,-3.651833828775206,0.8,153.9,60.8,134.6
89390cb53d7ffff,Madrid,40.46279338684888,-3.590702455913149,80.0,166.0,1079.9,58.9
89392b48b07ffff,Madrid,40.59016835738437,-3.784881947029243,37088.2,30691.1,35716.8,37945.1
89390ca1887ffff,Madrid,40.324866581841576,-3.589040567934154,3023.3,3115.6,3574.9,3250.2
89390ca2347ffff,Madrid,40.40528899397077,-3.630013150668213,277.8,131.1,598.5,321.9
89392b4dd77ffff,Madrid,40.604878213815056,-3.643235326287591,11740.8,11349.3,14675.0,2744.0
89390cb4217ffff,Madrid,40.50436265632641,-3.561837212672954,1418.4,1418.4,12478.8,2294.1
89390cb1587ffff,Madrid,40.47746420145424,-3.787230761276218,2511.8,915.6,1516.6,528.3
89390cb1807ffff,Madrid,40.43869435563623,-3.717198837532884,63.1,229.0,32.8,58.6
89390cb1873ffff,Madrid,40.43255670061976,-3.7197846236347862,136.1,459.7,188.9,462.5
89390ca2537ffff,Madrid,40.452040208183234,-3.625264544737144,675.1,687.1,1327.7,243.3
89390cb568bffff,Madrid,40.47674485293827,-3.63358465332126,605.1,733.9,638.2,221.2
89390ca2e23ffff,Madrid,40.41414189847967,-3.5887820760559856,2800.2,1311.9,1906.1,1142.7
89390cb2a23ffff,Madrid,40.51862638859525,-3.70226292368315,1447.4,1104.9,1497.0,1434.4
89390ca3167ffff,Madrid,40.37842767773359,-3.6563424315525848,666.5,303.5,534.9,136.1
